model_key,condition,image_id,human_n_responses,n_expected_repeats,n_successful_repeats,complete,repeat_labels,label_counts,modal_label,modal_count,modal_tied_labels,expected_human_endorsement,modal_label_human_support,modal_label_plurality_match,stability,pairwise_label_agreement,mean_confidence,mixed_none_removed_expected_endorsement,mixed_none_removed_modal_support,mixed_none_removed_plurality_match,actual_models
gpt56,p0,1-1,20,3,3,True,"[""Care"", ""Care"", ""Care""]","{""Care"": 3}",Care,3,"[""Care""]",0.8,0.8,True,1.0,1.0,94.666666667,0.8,0.8,True,"[""gpt-5.6-sol""]"
gpt56,p0,9-2,12,3,3,True,"[""Care"", ""Care"", ""Care""]","{""Care"": 3}",Care,3,"[""Care""]",0.416667,0.416667,True,1.0,1.0,64.0,0.416667,0.416667,True,"[""gpt-5.6-sol""]"
gpt56,p0,7-2,14,3,3,True,"[""Respect / Authority"", ""Respect / Authority"", ""Respect / Authority""]","{""Respect / Authority"": 3}",Respect / Authority,3,"[""Respect / Authority""]",0.571429,0.571429,True,1.0,1.0,88.0,0.571429,0.571429,True,"[""gpt-5.6-sol""]"
gpt56,p0,37-3,16,3,3,True,"[""Care"", ""Care"", ""Care""]","{""Care"": 3}",Care,3,"[""Care""]",0.125,0.125,False,1.0,1.0,78.0,0.125,0.125,False,"[""gpt-5.6-sol""]"
gpt56,p0,15-3,16,3,3,True,"[""Care"", ""Care"", ""Care""]","{""Care"": 3}",Care,3,"[""Care""]",0.3125,0.3125,False,1.0,1.0,84.0,0.3125,0.3125,False,"[""gpt-5.6-sol""]"
gpt56,p0,g-1,20,3,3,True,"[""Fairness"", ""Fairness"", ""Fairness""]","{""Fairness"": 3}",Fairness,3,"[""Fairness""]",0.4,0.4,True,1.0,1.0,93.0,0.4,0.4,True,"[""gpt-5.6-sol""]"
gpt56,p0,5-1,18,3,3,True,"[""Harm"", ""Harm"", ""Harm""]","{""Harm"": 3}",Harm,3,"[""Harm""]",0.5,0.5,True,1.0,1.0,91.0,0.5,0.5,True,"[""gpt-5.6-sol""]"
gpt56,p0,3-1,22,3,3,True,"[""Care"", ""Care"", ""Care""]","{""Care"": 3}",Care,3,"[""Care""]",0.181818,0.181818,False,1.0,1.0,88.0,0.181818,0.181818,False,"[""gpt-5.6-sol""]"
gpt56,p0,o-2,14,3,3,True,"[""None of these / Not clearly moral in nature"", ""None of these / Not clearly moral in nature"", ""None of these / Not clearly moral in nature""]","{""None of these / Not clearly moral in nature"": 3}",None of these / Not clearly moral in nature,3,"[""None of these / Not clearly moral in nature""]",0.357143,0.357143,False,1.0,1.0,98.0,0.357143,0.357143,False,"[""gpt-5.6-sol""]"
gpt56,p0,g-2,22,3,3,True,"[""Fairness"", ""Fairness"", ""Fairness""]","{""Fairness"": 3}",Fairness,3,"[""Fairness""]",0.545455,0.545455,True,1.0,1.0,98.0,0.545455,0.545455,True,"[""gpt-5.6-sol""]"
