image_id,filename,image_path,model,prompt_version,label,confidence,brief_reason,status,error,input_tokens,output_tokens,total_tokens,duration_seconds,processed_at_utc,raw_output
1-1,1-1.jpg,images/1-1.jpg,gpt-5.6,v2,Care,96,"A woman is visibly holding and supporting a smiling young child in an affectionate, protective posture. Their relationship is not identifiable from the image, but the scene clearly emphasizes nurturing and well-being.",success,,1054,93,1147,6.387,2026-08-18T13:40:52.962852+00:00,"{""label"":""Care"",""confidence"":96,""brief_reason"":""A woman is visibly holding and supporting a smiling young child in an affectionate, protective posture. Their relationship is not identifiable from the image, but the scene clearly emphasizes nurturing and well-being.""}"
1-2,1-2.jpg,images/1-2.jpg,gpt-5.6,v2,Harm,82,"The man’s hunched posture, lowered head, and hands over his ears visibly convey emotional distress, while the woman appears withdrawn or frustrated. The cause and relationship are unclear, so Care is also plausible as a concern for his vulnerability, but the scene primarily emphasizes suffering rather than support.",success,,1054,139,1193,5.415,2026-08-18T13:40:58.893977+00:00,"{""label"":""Harm"",""confidence"":82,""brief_reason"":""The man’s hunched posture, lowered head, and hands over his ears visibly convey emotional distress, while the woman appears withdrawn or frustrated. The cause and relationship are unclear, so Care is also plausible as a concern for his vulnerability, but the scene primarily emphasizes suffering rather than support.""}"
2-1,2-1.jpg,images/2-1.jpg,gpt-5.6,v2,Care,86,"A visibly vulnerable person is sheltering among makeshift materials and warming themselves over a small fire, emphasizing basic needs and well-being. No active helping is shown, but the scene primarily evokes concern for the person’s welfare; Harm is less fitting because no clear injury or violence is visible.",success,,2130,127,2257,6.314,2026-08-18T13:41:05.714639+00:00,"{""label"":""Care"",""confidence"":86,""brief_reason"":""A visibly vulnerable person is sheltering among makeshift materials and warming themselves over a small fire, emphasizing basic needs and well-being. No active helping is shown, but the scene primarily evokes concern for the person’s welfare; Harm is less fitting because no clear injury or violence is visible.""}"
2-2,2-2.jpg,images/2-2.jpg,gpt-5.6,v2,None of these / Not clearly moral in nature,96,"The image simply shows a person sleeping in bed, with no visible suffering, assistance, conflict, unfairness, or other clear moral issue. Although rest can relate broadly to well-being, the scene does not specifically convey Care or Harm.",success,,1054,118,1172,4.032,2026-08-18T13:41:10.252818+00:00,"{""label"":""None of these / Not clearly moral in nature"",""confidence"":96,""brief_reason"":""The image simply shows a person sleeping in bed, with no visible suffering, assistance, conflict, unfairness, or other clear moral issue. Although rest can relate broadly to well-being, the scene does not specifically convey Care or Harm.""}"
3-1,3-1.jpg,images/3-1.jpg,gpt-5.6,v2,Harm,84,"Several visibly distressed people are crying and collapsing over a casket, making emotional suffering and loss the dominant concern. Care is also plausible because others appear to support and comfort them, but the scene primarily emphasizes grief.",success,,1292,156,1448,5.25,2026-08-18T13:41:16.009631+00:00,"{""label"":""Harm"",""confidence"":84,""brief_reason"":""Several visibly distressed people are crying and collapsing over a casket, making emotional suffering and loss the dominant concern. Care is also plausible because others appear to support and comfort them, but the scene primarily emphasizes grief.""}"
3-2,3-2.jpg,images/3-2.jpg,gpt-5.6,v2,None of these / Not clearly moral in nature,94,"The image shows a group of people socializing, eating, and laughing outdoors. Although friendship or group bonding could loosely suggest loyalty, no clear morally significant act or concern is visible.",success,,1302,97,1399,4.131,2026-08-18T13:41:20.646776+00:00,"{""label"":""None of these / Not clearly moral in nature"",""confidence"":94,""brief_reason"":""The image shows a group of people socializing, eating, and laughing outdoors. Although friendship or group bonding could loosely suggest loyalty, no clear morally significant act or concern is visible.""}"
4-1,4-1.jpg,images/4-1.jpg,gpt-5.6,v2,Harm,72,"A uniformed officer visibly extends a baton toward a civilian at close range while other officers and bystanders watch, creating a clear scene of physical intimidation and potential violence. No injury or active strike is visible, so Respect / Authority is also plausible, but the threatening posture makes Harm the stronger concern.",success,,1302,342,1644,12.088,2026-08-18T13:41:33.239210+00:00,"{""label"":""Harm"",""confidence"":72,""brief_reason"":""A uniformed officer visibly extends a baton toward a civilian at close range while other officers and bystanders watch, creating a clear scene of physical intimidation and potential violence. No injury or active strike is visible, so Respect / Authority is also plausible, but the threatening posture makes Harm the stronger concern.""}"
4-2,4-2.jpg,images/4-2.jpg,gpt-5.6,v2,Respect / Authority,72,"A uniformed police officer visibly supervises a line of men positioned facing the windows or wall, emphasizing institutional authority, control, and compliance. The exact circumstances are unclear; Degradation is somewhat plausible because the posture may be humiliating, but no overt abuse or degrading act is clearly shown.",success,,1350,214,1564,6.211,2026-08-18T13:41:39.958569+00:00,"{""label"":""Respect / Authority"",""confidence"":72,""brief_reason"":""A uniformed police officer visibly supervises a line of men positioned facing the windows or wall, emphasizing institutional authority, control, and compliance. The exact circumstances are unclear; Degradation is somewhat plausible because the posture may be humiliating, but no overt abuse or degrading act is clearly shown.""}"
4-3,4-3.jpg,images/4-3.jpg,gpt-5.6,v2,None of these / Not clearly moral in nature,62,"The image visibly shows a uniformed police officer standing beside a boy among parked cars, but no clear helping, harm, confrontation, unfair treatment, or other morally charged action is shown. Respect / Authority is plausible because the officer prominently represents an institution, but the scene alone does not clearly depict either respect for or defiance of authority.",success,,1796,266,2062,7.481,2026-08-18T13:41:47.947070+00:00,"{""label"":""None of these / Not clearly moral in nature"",""confidence"":62,""brief_reason"":""The image visibly shows a uniformed police officer standing beside a boy among parked cars, but no clear helping, harm, confrontation, unfair treatment, or other morally charged action is shown. Respect / Authority is plausible because the officer prominently represents an institution, but the scene alone does not clearly depict either respect for or defiance of authority.""}"
5-1,5-1.jpg,images/5-1.jpg,gpt-5.6,v2,Harm,88,"A crying child is prominently shown in acute emotional distress, surrounded by a tense, crowded group with several other distressed faces. The cause is not visible, so Care is also plausible because the child appears vulnerable and in need of support, but the image’s strongest emphasis is the visible suffering itself.",success,,1602,132,1734,6.119,2026-08-18T13:41:54.572537+00:00,"{""label"":""Harm"",""confidence"":88,""brief_reason"":""A crying child is prominently shown in acute emotional distress, surrounded by a tense, crowded group with several other distressed faces. The cause is not visible, so Care is also plausible because the child appears vulnerable and in need of support, but the image’s strongest emphasis is the visible suffering itself.""}"
5-2,5-2.jpg,images/5-2.jpg,gpt-5.6,v2,Fairness,68,"A visibly diverse group of children joins together equally in a shared circle game, conveying inclusion and equal social participation. The scene could also simply depict ordinary play or group solidarity, so the moral emphasis on fairness is somewhat interpretive.",success,,1378,211,1589,7.306,2026-08-18T13:42:02.385751+00:00,"{""label"":""Fairness"",""confidence"":68,""brief_reason"":""A visibly diverse group of children joins together equally in a shared circle game, conveying inclusion and equal social participation. The scene could also simply depict ordinary play or group solidarity, so the moral emphasis on fairness is somewhat interpretive.""}"
6-1,6-1.jpg,images/6-1.jpg,gpt-5.6,v2,Sanctity,82,"The visible scene is a formal religious procession featuring ceremonial robes, cross-like emblems, staffs, and an organized public observance, conveying reverence for sacred tradition. Respect / Authority is also plausible because of the disciplined ceremonial order, but the religious symbolism makes sanctity the stronger primary theme.",success,,3870,154,4024,7.984,2026-08-18T13:42:10.877727+00:00,"{""label"":""Sanctity"",""confidence"":82,""brief_reason"":""The visible scene is a formal religious procession featuring ceremonial robes, cross-like emblems, staffs, and an organized public observance, conveying reverence for sacred tradition. Respect / Authority is also plausible because of the disciplined ceremonial order, but the religious symbolism makes sanctity the stronger primary theme.""}"
6-2,6-2.jpg,images/6-2.jpg,gpt-5.6,v2,Degradation,72,"The visible Ku Klux Klan-style robes and hoods, together with the Confederate flag, are strongly associated with racial humiliation and denial of human dignity. No victim or direct degrading act is visible, creating uncertainty; group Loyalty is also plausible from the coordinated dress and symbols, but the degrading meaning of the displayed imagery is more morally salient.",success,,1834,368,2202,9.3,2026-08-18T13:42:20.684333+00:00,"{""label"":""Degradation"",""confidence"":72,""brief_reason"":""The visible Ku Klux Klan-style robes and hoods, together with the Confederate flag, are strongly associated with racial humiliation and denial of human dignity. No victim or direct degrading act is visible, creating uncertainty; group Loyalty is also plausible from the coordinated dress and symbols, but the degrading meaning of the displayed imagery is more morally salient.""}"
6-3,6-3.jpg,images/6-3.jpg,gpt-5.6,v2,Sanctity,78,"The figures wear matching white pointed hoods and robes that visibly suggest a solemn religious or ceremonial procession, emphasizing sacred ritual and reverence. The exact context is not shown, so Respect / Authority or a non-moral ceremonial interpretation is possible, but sanctity is the strongest visible theme.",success,,3438,153,3591,5.413,2026-08-18T13:42:26.604365+00:00,"{""label"":""Sanctity"",""confidence"":78,""brief_reason"":""The figures wear matching white pointed hoods and robes that visibly suggest a solemn religious or ceremonial procession, emphasizing sacred ritual and reverence. The exact context is not shown, so Respect / Authority or a non-moral ceremonial interpretation is possible, but sanctity is the strongest visible theme.""}"
7-1,7-1.jpg,images/7-1.jpg,gpt-5.6,v2,None of these / Not clearly moral in nature,92,"Two professionally dressed people are visibly shaking hands in a neutral business-like setting. The gesture suggests a routine greeting or agreement, but no clear moral concern such as fairness, loyalty, harm, or authority is visually established.",success,,1130,114,1244,4.332,2026-08-18T13:42:31.444331+00:00,"{""label"":""None of these / Not clearly moral in nature"",""confidence"":92,""brief_reason"":""Two professionally dressed people are visibly shaking hands in a neutral business-like setting. The gesture suggests a routine greeting or agreement, but no clear moral concern such as fairness, loyalty, harm, or authority is visually established.""}"
7-2,7-2.jpg,images/7-2.jpg,gpt-5.6,v2,Respect / Authority,92,"Two formally dressed people are visibly bowing toward one another in a professional setting, conveying mutual respect and adherence to social or workplace etiquette. It could be a routine greeting rather than a strongly moral act, but respect is the clearest theme.",success,,2094,124,2218,4.317,2026-08-18T13:42:36.269591+00:00,"{""label"":""Respect / Authority"",""confidence"":92,""brief_reason"":""Two formally dressed people are visibly bowing toward one another in a professional setting, conveying mutual respect and adherence to social or workplace etiquette. It could be a routine greeting rather than a strongly moral act, but respect is the clearest theme.""}"
8-1,8-1.jpg,images/8-1.jpg,gpt-5.6,v2,None of these / Not clearly moral in nature,88,"The image shows a damaged, apparently abandoned amusement-park ride with debris and graffiti, but no visible person, suffering, or clearly identifiable moral action. Degradation is somewhat plausible because of the vandalized and decaying condition, though treating damage to this ordinary structure as a violation of dignity or sanctity would require additional assumptions.",success,,3931,213,4144,8.294,2026-08-18T13:42:45.068633+00:00,"{""label"":""None of these / Not clearly moral in nature"",""confidence"":88,""brief_reason"":""The image shows a damaged, apparently abandoned amusement-park ride with debris and graffiti, but no visible person, suffering, or clearly identifiable moral action. Degradation is somewhat plausible because of the vandalized and decaying condition, though treating damage to this ordinary structure as a violation of dignity or sanctity would require additional assumptions.""}"
8-2,8-2.jpg,images/8-2.jpg,gpt-5.6,v2,None of these / Not clearly moral in nature,94,"The image shows people seated at slot machines in a casino, with no visible injury, distress, deception, unfair treatment, or other clearly moral action. Gambling can raise broader moral concerns, but none can be established from this scene alone.",success,,2367,127,2494,4.661,2026-08-18T13:42:50.232861+00:00,"{""label"":""None of these / Not clearly moral in nature"",""confidence"":94,""brief_reason"":""The image shows people seated at slot machines in a casino, with no visible injury, distress, deception, unfair treatment, or other clearly moral action. Gambling can raise broader moral concerns, but none can be established from this scene alone.""}"
8-3,8-3.jpg,images/8-3.jpg,gpt-5.6,v2,None of these / Not clearly moral in nature,94,"The image shows an empty, apparently disused shopping mall with closed storefronts, debris, and a hanging U.S. flag. Although the scene suggests neglect or decline, it does not visibly depict a specific moral action, victim, or clear violation; classifying it as Degradation would require interpreting ordinary physical deterioration as a moral concern.",success,,3918,146,4064,6.357,2026-08-18T13:42:57.095193+00:00,"{""label"":""None of these / Not clearly moral in nature"",""confidence"":94,""brief_reason"":""The image shows an empty, apparently disused shopping mall with closed storefronts, debris, and a hanging U.S. flag. Although the scene suggests neglect or decline, it does not visibly depict a specific moral action, victim, or clear violation; classifying it as Degradation would require interpreting ordinary physical deterioration as a moral concern.""}"
8-4,8-4.jpg,images/8-4.jpg,gpt-5.6,v2,None of these / Not clearly moral in nature,98,"The image shows several masked people playing arcade video games. No visible suffering, assistance, unfair conduct, authority conflict, betrayal, or dignity-related violation is evident; the masks alone do not establish a moral concern.",success,,3030,74,3104,3.581,2026-08-18T13:43:01.183038+00:00,"{""label"":""None of these / Not clearly moral in nature"",""confidence"":98,""brief_reason"":""The image shows several masked people playing arcade video games. No visible suffering, assistance, unfair conduct, authority conflict, betrayal, or dignity-related violation is evident; the masks alone do not establish a moral concern.""}"
9-1,9-1.jpg,images/9-1.jpg,gpt-5.6,v2,None of these / Not clearly moral in nature,88,"Two children in matching school-style uniforms are seated in an ornate room with neutral or mildly unhappy expressions. No visible action, injury, mistreatment, inequality, or other clear moral situation is shown; interpreting their expressions as evidence of harm or a need for care would require unsupported assumptions.",success,,2512,143,2655,3.547,2026-08-18T13:43:05.236374+00:00,"{""label"":""None of these / Not clearly moral in nature"",""confidence"":88,""brief_reason"":""Two children in matching school-style uniforms are seated in an ornate room with neutral or mildly unhappy expressions. No visible action, injury, mistreatment, inequality, or other clear moral situation is shown; interpreting their expressions as evidence of harm or a need for care would require unsupported assumptions.""}"
9-2,9-2.jpg,images/9-2.jpg,gpt-5.6,v2,Care,58,"Several children are shown in a visibly cramped, heavily cluttered living and sleeping space, suggesting potential vulnerability and concern for their welfare. They appear relaxed and cheerful, with no visible injury or active neglect, so the moral meaning is somewhat ambiguous; fairness or no clear moral concern could also be plausible, but unequal treatment is not directly shown.",success,,3870,233,4103,6.463,2026-08-18T13:43:12.208051+00:00,"{""label"":""Care"",""confidence"":58,""brief_reason"":""Several children are shown in a visibly cramped, heavily cluttered living and sleeping space, suggesting potential vulnerability and concern for their welfare. They appear relaxed and cheerful, with no visible injury or active neglect, so the moral meaning is somewhat ambiguous; fairness or no clear moral concern could also be plausible, but unequal treatment is not directly shown.""}"
10-1,10-1.jpg,images/10-1.jpg,gpt-5.6,v2,None of these / Not clearly moral in nature,98,"The image shows a man sitting calmly on a couch in a domestic setting. No visible helping, suffering, conflict, injustice, rule violation, authority issue, or dignity-related concern establishes a moral theme.",success,,2487,72,2559,4.338,2026-08-18T13:43:17.053310+00:00,"{""label"":""None of these / Not clearly moral in nature"",""confidence"":98,""brief_reason"":""The image shows a man sitting calmly on a couch in a domestic setting. No visible helping, suffering, conflict, injustice, rule violation, authority issue, or dignity-related concern establishes a moral theme.""}"
