image_id,filename,visual_cue_family_overlap,excluded_from_prompt_discovery,scope
1-1,1-1.jpg,yes,yes,human_annotation_16
9-2,9-2.jpg,no,not_applicable,human_annotation_16
7-2,7-2.jpg,yes,yes,human_annotation_16
37-3,37-3.jpg,no,not_applicable,human_annotation_16
15-3,15-3.jpg,no,not_applicable,human_annotation_16
g-1,g-1.png,no,not_applicable,human_annotation_16
5-1,5-1.jpg,no,not_applicable,human_annotation_16
3-1,3-1.jpg,no,not_applicable,human_annotation_16
o-2,o-2.jpg,no,not_applicable,human_annotation_16
g-2,g-2.png,no,not_applicable,human_annotation_16
2-1,2-1.jpg,no,not_applicable,human_annotation_16
25-2,25-2.jpg,no,not_applicable,human_annotation_16
34-4,34-4.jpg,no,not_applicable,human_annotation_16
o-1,o-1.jpg,no,not_applicable,human_annotation_16
16-2,16-2.jpg,yes,yes,human_annotation_16
35-3,35-3.jpg,no,not_applicable,human_annotation_16

