image_id,filename,image_path,model,prompt_version,label,confidence,brief_reason,status,error,input_tokens,output_tokens,total_tokens,duration_seconds,processed_at_utc,raw_output
1-1,1-1.jpg,images/1-1.jpg,gpt-4o,v2,Care,90,"The image shows a person hugging a laughing child, suggesting nurturing and support. The visible laughter and embrace emphasize well-being and affection, which aligns with the moral concern of Care. There is little ambiguity in this interpretation.",success,,1245,57,1302,8.427,2026-08-18T14:35:36.124598+00:00,"{""label"":""Care"",""confidence"":90,""brief_reason"":""The image shows a person hugging a laughing child, suggesting nurturing and support. The visible laughter and embrace emphasize well-being and affection, which aligns with the moral concern of Care. There is little ambiguity in this interpretation.""}"
1-2,1-2.jpg,images/1-2.jpg,gpt-4o,v2,Care,85,"The image shows a visibly upset person on a couch while another person appears concerned, possibly indicating emotional support or the need for it. The primary moral concern seems to be the well-being and support of the upset individual. Another plausible category could be Harm, if focusing on the emotional distress, but the emphasis on care or support is stronger.",success,,1245,81,1326,4.556,2026-08-18T14:35:41.186869+00:00,"{""label"":""Care"",""confidence"":85,""brief_reason"":""The image shows a visibly upset person on a couch while another person appears concerned, possibly indicating emotional support or the need for it. The primary moral concern seems to be the well-being and support of the upset individual. Another plausible category could be Harm, if focusing on the emotional distress, but the emphasis on care or support is stronger.""}"
2-1,2-1.jpg,images/2-1.jpg,gpt-4o,v2,Care,85,"The image depicts a person in an environment that suggests homelessness or extreme poverty, as shown by makeshift shelter and sparse belongings. This indicates a condition of vulnerability and need, suggesting the primary moral concern of Care for their well-being.",success,,2095,60,2155,5.219,2026-08-18T14:35:46.909445+00:00,"{""label"":""Care"",""confidence"":85,""brief_reason"":""The image depicts a person in an environment that suggests homelessness or extreme poverty, as shown by makeshift shelter and sparse belongings. This indicates a condition of vulnerability and need, suggesting the primary moral concern of Care for their well-being.""}"
2-2,2-2.jpg,images/2-2.jpg,gpt-4o,v2,None of these / Not clearly moral in nature,95,"The image shows a person sleeping peacefully, which does not convey a clear moral concern from the given categories. There are no visible elements of care, harm, fairness, or other moral issues present.",success,,1245,61,1306,4.025,2026-08-18T14:35:51.440428+00:00,"{""label"":""None of these / Not clearly moral in nature"",""confidence"":95,""brief_reason"":""The image shows a person sleeping peacefully, which does not convey a clear moral concern from the given categories. There are no visible elements of care, harm, fairness, or other moral issues present.""}"
3-1,3-1.jpg,images/3-1.jpg,gpt-4o,v2,Care,85,"The image shows people comforting each other and mourning around a casket, indicating a concern for each other's emotional well-being and support in a moment of vulnerability. The primary focus is on the compassion and support being offered, which aligns with the moral concern of Care.",success,,1415,66,1481,4.549,2026-08-18T14:35:56.497814+00:00,"{""label"":""Care"",""confidence"":85,""brief_reason"":""The image shows people comforting each other and mourning around a casket, indicating a concern for each other's emotional well-being and support in a moment of vulnerability. The primary focus is on the compassion and support being offered, which aligns with the moral concern of Care.""}"
3-2,3-2.jpg,images/3-2.jpg,gpt-4o,v2,None of these / Not clearly moral in nature,90,"The image shows people enjoying a picnic together. There is no clear indication of a moral concern such as care, harm, fairness, or any other category. The scene appears to be lighthearted and social.",success,,1415,63,1478,2.952,2026-08-18T14:35:59.953861+00:00,"{""label"":""None of these / Not clearly moral in nature"",""confidence"":90,""brief_reason"":""The image shows people enjoying a picnic together. There is no clear indication of a moral concern such as care, harm, fairness, or any other category. The scene appears to be lighthearted and social.""}"
4-1,4-1.jpg,images/4-1.jpg,gpt-4o,v2,Respect / Authority,85,"The image shows uniformed officers engaging with a group of people, indicating an enforcement of authority or rules. The officers' demeanor suggests a focus on maintaining social order, with a clear presence of hierarchy. 'Fairness' could be considered due to potential unequal treatment, but the primary concern visually is authority.",success,,1415,77,1492,3.444,2026-08-18T14:36:03.905256+00:00,"{""label"":""Respect / Authority"",""confidence"":85,""brief_reason"":""The image shows uniformed officers engaging with a group of people, indicating an enforcement of authority or rules. The officers' demeanor suggests a focus on maintaining social order, with a clear presence of hierarchy. 'Fairness' could be considered due to potential unequal treatment, but the primary concern visually is authority.""}"
4-2,4-2.jpg,images/4-2.jpg,gpt-4o,v2,Respect / Authority,80,"The image shows a police officer in a position of authority over a group of people who appear to be lined up against a wall. The presence of the officer with a baton suggests the enforcement of authority and order. While there may be aspects of power dynamics, the primary concern seems to be about respect for authority.",success,,1415,78,1493,3.231,2026-08-18T14:36:07.638643+00:00,"{""label"":""Respect / Authority"",""confidence"":80,""brief_reason"":""The image shows a police officer in a position of authority over a group of people who appear to be lined up against a wall. The presence of the officer with a baton suggests the enforcement of authority and order. While there may be aspects of power dynamics, the primary concern seems to be about respect for authority.""}"
4-3,4-3.jpg,images/4-3.jpg,gpt-4o,v2,Respect / Authority,75,"The image shows a police officer interacting with a young boy, which likely reflects a concern for respect and authority. The presence of a uniformed officer symbolizes a lawful or authoritative context. Alternative interpretations, like Fairness, aren't clear due to lack of visible conflict or unfair treatment.",success,,1755,71,1826,3.128,2026-08-18T14:36:11.273445+00:00,"{""label"":""Respect / Authority"",""confidence"":75,""brief_reason"":""The image shows a police officer interacting with a young boy, which likely reflects a concern for respect and authority. The presence of a uniformed officer symbolizes a lawful or authoritative context. Alternative interpretations, like Fairness, aren't clear due to lack of visible conflict or unfair treatment.""}"
5-1,5-1.jpg,images/5-1.jpg,gpt-4o,v2,Care,95,"The image shows a group of distressed individuals, including children, with expressions of fear and desperation, suggesting vulnerability and a need for help and support. The primary concern appears to be the welfare of these individuals. The visibility of tears emphasizes the need for compassion and assistance, making 'Care' the primary moral concern. 'Harm' is less applicable as there is no direct depiction of injury or violence.",success,,1755,94,1849,3.098,2026-08-18T14:36:14.875960+00:00,"{""label"":""Care"",""confidence"":95,""brief_reason"":""The image shows a group of distressed individuals, including children, with expressions of fear and desperation, suggesting vulnerability and a need for help and support. The primary concern appears to be the welfare of these individuals. The visibility of tears emphasizes the need for compassion and assistance, making 'Care' the primary moral concern. 'Harm' is less applicable as there is no direct depiction of injury or violence.""}"
