sequence_index,run_number,image_block_position,condition_position,image_id,condition
1,1,1,1,16-2,p2
2,1,1,2,16-2,p0
3,1,1,3,16-2,p1
4,1,2,1,o-1,p0
5,1,2,2,o-1,p1
6,1,2,3,o-1,p2
7,1,3,1,37-3,p1
8,1,3,2,37-3,p2
9,1,3,3,37-3,p0
10,1,4,1,g-1,p0
11,1,4,2,g-1,p1
12,1,4,3,g-1,p2
13,1,5,1,35-3,p2
14,1,5,2,35-3,p0
15,1,5,3,35-3,p1
16,1,6,1,25-2,p0
17,1,6,2,25-2,p1
18,1,6,3,25-2,p2
19,1,7,1,34-4,p1
20,1,7,2,34-4,p2
21,1,7,3,34-4,p0
22,1,8,1,g-2,p2
23,1,8,2,g-2,p0
24,1,8,3,g-2,p1
25,1,9,1,7-2,p1
26,1,9,2,7-2,p2
27,1,9,3,7-2,p0
28,1,10,1,9-2,p0
29,1,10,2,9-2,p1
30,1,10,3,9-2,p2
31,1,11,1,3-1,p0
32,1,11,2,3-1,p1
33,1,11,3,3-1,p2
34,1,12,1,5-1,p0
35,1,12,2,5-1,p1
36,1,12,3,5-1,p2
37,1,13,1,15-3,p1
38,1,13,2,15-3,p2
39,1,13,3,15-3,p0
40,1,14,1,1-1,p1
41,1,14,2,1-1,p2
42,1,14,3,1-1,p0
43,1,15,1,2-1,p0
44,1,15,2,2-1,p1
45,1,15,3,2-1,p2
46,1,16,1,o-2,p1
47,1,16,2,o-2,p2
48,1,16,3,o-2,p0
49,2,1,1,35-3,p0
50,2,1,2,35-3,p1
51,2,1,3,35-3,p2
52,2,2,1,9-2,p1
53,2,2,2,9-2,p2
54,2,2,3,9-2,p0
55,2,3,1,g-2,p0
56,2,3,2,g-2,p1
57,2,3,3,g-2,p2
58,2,4,1,3-1,p1
59,2,4,2,3-1,p2
60,2,4,3,3-1,p0
61,2,5,1,7-2,p2
62,2,5,2,7-2,p0
63,2,5,3,7-2,p1
64,2,6,1,2-1,p1
65,2,6,2,2-1,p2
66,2,6,3,2-1,p0
67,2,7,1,1-1,p2
68,2,7,2,1-1,p0
69,2,7,3,1-1,p1
70,2,8,1,37-3,p2
71,2,8,2,37-3,p0
72,2,8,3,37-3,p1
73,2,9,1,34-4,p2
74,2,9,2,34-4,p0
75,2,9,3,34-4,p1
76,2,10,1,15-3,p2
77,2,10,2,15-3,p0
78,2,10,3,15-3,p1
79,2,11,1,25-2,p1
80,2,11,2,25-2,p2
81,2,11,3,25-2,p0
82,2,12,1,16-2,p0
83,2,12,2,16-2,p1
84,2,12,3,16-2,p2
85,2,13,1,5-1,p1
86,2,13,2,5-1,p2
87,2,13,3,5-1,p0
88,2,14,1,o-1,p1
89,2,14,2,o-1,p2
90,2,14,3,o-1,p0
91,2,15,1,g-1,p1
92,2,15,2,g-1,p2
93,2,15,3,g-1,p0
94,2,16,1,o-2,p2
95,2,16,2,o-2,p0
96,2,16,3,o-2,p1
97,3,1,1,15-3,p0
98,3,1,2,15-3,p1
99,3,1,3,15-3,p2
100,3,2,1,9-2,p2
101,3,2,2,9-2,p0
102,3,2,3,9-2,p1
103,3,3,1,5-1,p2
104,3,3,2,5-1,p0
105,3,3,3,5-1,p1
106,3,4,1,3-1,p2
107,3,4,2,3-1,p0
108,3,4,3,3-1,p1
109,3,5,1,35-3,p1
110,3,5,2,35-3,p2
111,3,5,3,35-3,p0
112,3,6,1,37-3,p0
113,3,6,2,37-3,p1
114,3,6,3,37-3,p2
115,3,7,1,7-2,p0
116,3,7,2,7-2,p1
117,3,7,3,7-2,p2
118,3,8,1,25-2,p2
119,3,8,2,25-2,p0
120,3,8,3,25-2,p1
121,3,9,1,1-1,p0
122,3,9,2,1-1,p1
123,3,9,3,1-1,p2
124,3,10,1,o-1,p2
125,3,10,2,o-1,p0
126,3,10,3,o-1,p1
127,3,11,1,2-1,p2
128,3,11,2,2-1,p0
129,3,11,3,2-1,p1
130,3,12,1,g-2,p1
131,3,12,2,g-2,p2
132,3,12,3,g-2,p0
133,3,13,1,g-1,p2
134,3,13,2,g-1,p0
135,3,13,3,g-1,p1
136,3,14,1,34-4,p0
137,3,14,2,34-4,p1
138,3,14,3,34-4,p2
139,3,15,1,16-2,p1
140,3,15,2,16-2,p2
141,3,15,3,16-2,p0
142,3,16,1,o-2,p0
143,3,16,2,o-2,p1
144,3,16,3,o-2,p2
