schema_version,protocol_id,protocol_sha256,schedule_seed,schedule_sha256,trial_id,execution_id,sequence_index,run_number,image_block_position,condition_position,condition,prompt_version,prompt_sha256,evaluation_manifest_sha256,image_id,filename,image_path,image_sha256,model_key,provider,requested_model,actual_model,sdk_version,temperature_requested,reasoning_setting,image_detail,request_started_at_utc,response_received_at_utc,duration_seconds,attempts_used,status,label,confidence,brief_reason,error_type,error_message,http_status,response_id,input_tokens,output_tokens,reasoning_tokens,total_tokens,raw_output,raw_json_path
prompt-results-v1,visual-cue-prompt-pilot-v1,010ecf86752795948c65f735a12ca5ef23a0b79726346feeeec6b2e8a0d97fd9,20260905,4abacadab7776f19f410667a58dab254f25527fef3a254f29b2f95a6ed48d37c,0050b3afc23b2b565879bf4f9ac5095116c9b476a4e939fe9e6cf08444a83945,,1,1,1,1,p2,p2-blind-nonoverlap-cues-v1-2026-09-05,482dce5b0ed5faf3ec20bdf32b51d0eb2212e901d18dde12a59c1f710160df8d,b0df04e619c332a72d33e5061a92e225ef3b9a537c9dcb40ee78e063f56dfcdd,16-2,16-2.jpg,images/16-2.jpg,b19fe338347260d6f82e12bf5b43634b2f0503089cdbb715f9dfe13c1d5639b4,qwen36,Alibaba Cloud Model Studio,qwen3.6-flash-2026-04-16,qwen3.6-flash-2026-04-16,2.48.0,0,"{""enable_thinking"": false}",provider_default,2026-09-05T23:19:10.420292+00:00,2026-09-05T23:19:18.403425+00:00,7.983,1,success,Harm,95,"The image explicitly depicts a scene of physical violence and suffering. One individual is shown in the act of physically attacking another (choking or strangling), while the victim displays visible signs of extreme pain and distress through facial expression and body language. This directly aligns with the category of Harm, which covers physical injury, cruelty, and violence.",,,,,1936,97,,2033,"{
  ""label"": ""Harm"",
  ""confidence"": 95,
  ""brief_reason"": ""The image explicitly depicts a scene of physical violence and suffering. One individual is shown in the act of physically attacking another (choking or strangling), while the victim displays visible signs of extreme pain and distress through facial expression and body language. This directly aligns with the category of Harm, which covers physical injury, cruelty, and violence.""
}",
prompt-results-v1,visual-cue-prompt-pilot-v1,010ecf86752795948c65f735a12ca5ef23a0b79726346feeeec6b2e8a0d97fd9,20260905,4abacadab7776f19f410667a58dab254f25527fef3a254f29b2f95a6ed48d37c,5adf26b93560df3f8cec93e250264a40823d61b3159e0f79b3de703d223d539b,,2,1,1,2,p0,p0-baseline-v2,1c1a1676abde21bda6ea8cf6eef5a6ca2bb99ecef928005f0fe5aed4769d0fa1,b0df04e619c332a72d33e5061a92e225ef3b9a537c9dcb40ee78e063f56dfcdd,16-2,16-2.jpg,images/16-2.jpg,b19fe338347260d6f82e12bf5b43634b2f0503089cdbb715f9dfe13c1d5639b4,qwen36,Alibaba Cloud Model Studio,qwen3.6-flash-2026-04-16,qwen3.6-flash-2026-04-16,2.48.0,0,"{""enable_thinking"": false}",provider_default,2026-09-05T23:19:18.921477+00:00,2026-09-05T23:19:22.585119+00:00,3.664,1,success,Harm,95,"The image explicitly depicts a scene of physical violence and aggression. One individual is shown physically overpowering another from behind in a chokehold, while the victim displays visible signs of extreme distress and pain (grimacing, hands clutching the throat). This visual evidence strongly supports 'Harm' as the primary moral concern regarding physical suffering and abuse.",,,,,1515,97,,1612,"{
  ""label"": ""Harm"",
  ""confidence"": 95,
  ""brief_reason"": ""The image explicitly depicts a scene of physical violence and aggression. One individual is shown physically overpowering another from behind in a chokehold, while the victim displays visible signs of extreme distress and pain (grimacing, hands clutching the throat). This visual evidence strongly supports 'Harm' as the primary moral concern regarding physical suffering and abuse.""
}",
prompt-results-v1,visual-cue-prompt-pilot-v1,010ecf86752795948c65f735a12ca5ef23a0b79726346feeeec6b2e8a0d97fd9,20260905,4abacadab7776f19f410667a58dab254f25527fef3a254f29b2f95a6ed48d37c,71af17769c4597355390d4dddedf4fbea0b655040eb1900a56ac29be23589b13,,3,1,1,3,p1,p1-structured-control-v1-2026-09-05,b9621814e5a2bb839e6f399c5bf42940989a14efca909b15427ab68e3ae9432d,b0df04e619c332a72d33e5061a92e225ef3b9a537c9dcb40ee78e063f56dfcdd,16-2,16-2.jpg,images/16-2.jpg,b19fe338347260d6f82e12bf5b43634b2f0503089cdbb715f9dfe13c1d5639b4,qwen36,Alibaba Cloud Model Studio,qwen3.6-flash-2026-04-16,qwen3.6-flash-2026-04-16,2.48.0,0,"{""enable_thinking"": false}",provider_default,2026-09-05T23:19:23.098061+00:00,2026-09-05T23:19:26.496018+00:00,3.398,1,success,Harm,95,"The image visually depicts a scene of physical violence and suffering. One individual is shown in the act of strangling another, while the victim displays visible signs of extreme distress and pain (grimacing, hands clutching the throat). This directly aligns with the category of Harm, which covers physical injury, cruelty, and violence.",,,,,1755,94,,1849,"{
  ""label"": ""Harm"",
  ""confidence"": 95,
  ""brief_reason"": ""The image visually depicts a scene of physical violence and suffering. One individual is shown in the act of strangling another, while the victim displays visible signs of extreme distress and pain (grimacing, hands clutching the throat). This directly aligns with the category of Harm, which covers physical injury, cruelty, and violence.""
}",
prompt-results-v1,visual-cue-prompt-pilot-v1,010ecf86752795948c65f735a12ca5ef23a0b79726346feeeec6b2e8a0d97fd9,20260905,4abacadab7776f19f410667a58dab254f25527fef3a254f29b2f95a6ed48d37c,1ddd16baa7fa93a63952a060d5d5844feca899622ec050d6761895be165b4081,,4,1,2,1,p0,p0-baseline-v2,1c1a1676abde21bda6ea8cf6eef5a6ca2bb99ecef928005f0fe5aed4769d0fa1,b0df04e619c332a72d33e5061a92e225ef3b9a537c9dcb40ee78e063f56dfcdd,o-1,o-1.jpg,images/o-1.jpg,465ce5e16a46ae2345602e9171dd9d71e3f2541db1587e0b00b60a3ad76e919e,qwen36,Alibaba Cloud Model Studio,qwen3.6-flash-2026-04-16,qwen3.6-flash-2026-04-16,2.48.0,0,"{""enable_thinking"": false}",provider_default,2026-09-05T23:19:27.022270+00:00,2026-09-05T23:19:29.864484+00:00,2.842,1,success,None of these / Not clearly moral in nature,95,"The image depicts two students sitting side-by-side and writing on paper. While the proximity might suggest a possibility of academic dishonesty (Cheating), there is no visible evidence of rule-breaking, deception, or unfair advantage; they could simply be taking an exam independently. Similarly, there are no visual cues for Care, Harm, Fairness, or other specific moral categories. The scene is a neutral depiction of studying or testing without clear moral indicators.",,,,,1519,125,,1644,"{
  ""label"": ""None of these / Not clearly moral in nature"",
  ""confidence"": 95,
  ""brief_reason"": ""The image depicts two students sitting side-by-side and writing on paper. While the proximity might suggest a possibility of academic dishonesty (Cheating), there is no visible evidence of rule-breaking, deception, or unfair advantage; they could simply be taking an exam independently. Similarly, there are no visual cues for Care, Harm, Fairness, or other specific moral categories. The scene is a neutral depiction of studying or testing without clear moral indicators.""
}",
prompt-results-v1,visual-cue-prompt-pilot-v1,010ecf86752795948c65f735a12ca5ef23a0b79726346feeeec6b2e8a0d97fd9,20260905,4abacadab7776f19f410667a58dab254f25527fef3a254f29b2f95a6ed48d37c,fa55b853b7e0c35c34dd7e24f1bdf7e31cbc23a8e4e84dfdf19d9e43cb37162f,,5,1,2,2,p1,p1-structured-control-v1-2026-09-05,b9621814e5a2bb839e6f399c5bf42940989a14efca909b15427ab68e3ae9432d,b0df04e619c332a72d33e5061a92e225ef3b9a537c9dcb40ee78e063f56dfcdd,o-1,o-1.jpg,images/o-1.jpg,465ce5e16a46ae2345602e9171dd9d71e3f2541db1587e0b00b60a3ad76e919e,qwen36,Alibaba Cloud Model Studio,qwen3.6-flash-2026-04-16,qwen3.6-flash-2026-04-16,2.48.0,0,"{""enable_thinking"": false}",provider_default,2026-09-05T23:19:30.381209+00:00,2026-09-05T23:19:32.634273+00:00,2.253,1,success,None of these / Not clearly moral in nature,90,"The image depicts two students sitting at a desk, appearing to write or take a test. While the proximity of the students might suggest 'Cheating' as a possibility, there is no visible evidence of rule-breaking, deception, or unfair advantage (e.g., looking at each other's papers). They are simply working in close quarters. Without explicit visual cues of misconduct, inferring a moral violation like cheating would require unsupported assumptions about their intentions or actions. Therefore, the scene is best classified as a neutral activity without a clear primary moral concern.",,,,,1759,145,,1904,"{
  ""label"": ""None of these / Not clearly moral in nature"",
  ""confidence"": 90,
  ""brief_reason"": ""The image depicts two students sitting at a desk, appearing to write or take a test. While the proximity of the students might suggest 'Cheating' as a possibility, there is no visible evidence of rule-breaking, deception, or unfair advantage (e.g., looking at each other's papers). They are simply working in close quarters. Without explicit visual cues of misconduct, inferring a moral violation like cheating would require unsupported assumptions about their intentions or actions. Therefore, the scene is best classified as a neutral activity without a clear primary moral concern.""
}",
prompt-results-v1,visual-cue-prompt-pilot-v1,010ecf86752795948c65f735a12ca5ef23a0b79726346feeeec6b2e8a0d97fd9,20260905,4abacadab7776f19f410667a58dab254f25527fef3a254f29b2f95a6ed48d37c,909d2f17668fdf4f2da65f09a4e68854d23676d6df6c8afeb773a2a8481212d3,,6,1,2,3,p2,p2-blind-nonoverlap-cues-v1-2026-09-05,482dce5b0ed5faf3ec20bdf32b51d0eb2212e901d18dde12a59c1f710160df8d,b0df04e619c332a72d33e5061a92e225ef3b9a537c9dcb40ee78e063f56dfcdd,o-1,o-1.jpg,images/o-1.jpg,465ce5e16a46ae2345602e9171dd9d71e3f2541db1587e0b00b60a3ad76e919e,qwen36,Alibaba Cloud Model Studio,qwen3.6-flash-2026-04-16,qwen3.6-flash-2026-04-16,2.48.0,0,"{""enable_thinking"": false}",provider_default,2026-09-05T23:19:33.158474+00:00,2026-09-05T23:19:36.717244+00:00,3.559,1,success,None of these / Not clearly moral in nature,95,"The image depicts two students sitting at a desk and writing on paper. While the setting implies an academic context where rules against cheating exist, there is no visible evidence of rule-breaking, deception, or unfair advantage (such as looking at each other's papers). The subjects are simply engaged in the act of writing. Without explicit visual cues indicating misconduct, inferring 'Cheating' would require assuming hidden intentions not supported by the scene. Therefore, the image does not clearly convey a specific moral concern from the provided categories.",,,,,1940,139,,2079,"{
  ""label"": ""None of these / Not clearly moral in nature"",
  ""confidence"": 95,
  ""brief_reason"": ""The image depicts two students sitting at a desk and writing on paper. While the setting implies an academic context where rules against cheating exist, there is no visible evidence of rule-breaking, deception, or unfair advantage (such as looking at each other's papers). The subjects are simply engaged in the act of writing. Without explicit visual cues indicating misconduct, inferring 'Cheating' would require assuming hidden intentions not supported by the scene. Therefore, the image does not clearly convey a specific moral concern from the provided categories.""
}",
prompt-results-v1,visual-cue-prompt-pilot-v1,010ecf86752795948c65f735a12ca5ef23a0b79726346feeeec6b2e8a0d97fd9,20260905,4abacadab7776f19f410667a58dab254f25527fef3a254f29b2f95a6ed48d37c,bc818161406e03bc72649af43f80b02840a9b216f7b005d10c480a10e29361e0,,7,1,3,1,p1,p1-structured-control-v1-2026-09-05,b9621814e5a2bb839e6f399c5bf42940989a14efca909b15427ab68e3ae9432d,b0df04e619c332a72d33e5061a92e225ef3b9a537c9dcb40ee78e063f56dfcdd,37-3,37-3.jpg,images/37-3.jpg,368cf7b7ef47e0933e9b60541ae321361571d2dbc8bd6b7deb0dc657f9a54e21,qwen36,Alibaba Cloud Model Studio,qwen3.6-flash-2026-04-16,qwen3.6-flash-2026-04-16,2.48.0,0,"{""enable_thinking"": false}",provider_default,2026-09-05T23:19:37.240934+00:00,2026-09-05T23:19:41.342858+00:00,4.102,1,success,Harm,85,"The image prominently features a person in visible emotional distress, indicated by their pained expression, red eyes, and body language (holding their head). The surrounding environment—messy room, trash, discarded food—suggests neglect and suffering. This aligns with the 'Harm' category, which covers emotional suffering and injury. While the context of social media could imply themes of unfairness or betrayal, the primary visual evidence points to the individual's state of suffering rather than the specific cause.",,,,,2251,128,,2379,"{
  ""label"": ""Harm"",
  ""confidence"": 85,
  ""brief_reason"": ""The image prominently features a person in visible emotional distress, indicated by their pained expression, red eyes, and body language (holding their head). The surrounding environment—messy room, trash, discarded food—suggests neglect and suffering. This aligns with the 'Harm' category, which covers emotional suffering and injury. While the context of social media could imply themes of unfairness or betrayal, the primary visual evidence points to the individual's state of suffering rather than the specific cause.""
}",
prompt-results-v1,visual-cue-prompt-pilot-v1,010ecf86752795948c65f735a12ca5ef23a0b79726346feeeec6b2e8a0d97fd9,20260905,4abacadab7776f19f410667a58dab254f25527fef3a254f29b2f95a6ed48d37c,0f64c8bb858787eaa52b094be677443573e336f4dcee4961ab1b85adac7f2e87,,8,1,3,2,p2,p2-blind-nonoverlap-cues-v1-2026-09-05,482dce5b0ed5faf3ec20bdf32b51d0eb2212e901d18dde12a59c1f710160df8d,b0df04e619c332a72d33e5061a92e225ef3b9a537c9dcb40ee78e063f56dfcdd,37-3,37-3.jpg,images/37-3.jpg,368cf7b7ef47e0933e9b60541ae321361571d2dbc8bd6b7deb0dc657f9a54e21,qwen36,Alibaba Cloud Model Studio,qwen3.6-flash-2026-04-16,qwen3.6-flash-2026-04-16,2.48.0,0,"{""enable_thinking"": false}",provider_default,2026-09-05T23:19:41.861897+00:00,2026-09-05T23:19:46.863737+00:00,5.002,1,success,Harm,85,"The image visually depicts a person in a state of severe emotional distress and suffering. The subject's pained facial expression, red eyes, and posture (holding their head) strongly convey psychological pain or trauma. The surrounding environment—messy room, discarded food containers, and used tissues—supports the inference of a negative condition involving self-neglect or crisis. While the source of the distress is ambiguous, the primary moral concern conveyed by the visible evidence is the presence of significant emotional harm.",,,,,2432,127,,2559,"{
  ""label"": ""Harm"",
  ""confidence"": 85,
  ""brief_reason"": ""The image visually depicts a person in a state of severe emotional distress and suffering. The subject's pained facial expression, red eyes, and posture (holding their head) strongly convey psychological pain or trauma. The surrounding environment—messy room, discarded food containers, and used tissues—supports the inference of a negative condition involving self-neglect or crisis. While the source of the distress is ambiguous, the primary moral concern conveyed by the visible evidence is the presence of significant emotional harm.""
}",
prompt-results-v1,visual-cue-prompt-pilot-v1,010ecf86752795948c65f735a12ca5ef23a0b79726346feeeec6b2e8a0d97fd9,20260905,4abacadab7776f19f410667a58dab254f25527fef3a254f29b2f95a6ed48d37c,226d07505f3da37342af0cb8e2200f222d497c773fa773dc6931c200aebb2c36,,9,1,3,3,p0,p0-baseline-v2,1c1a1676abde21bda6ea8cf6eef5a6ca2bb99ecef928005f0fe5aed4769d0fa1,b0df04e619c332a72d33e5061a92e225ef3b9a537c9dcb40ee78e063f56dfcdd,37-3,37-3.jpg,images/37-3.jpg,368cf7b7ef47e0933e9b60541ae321361571d2dbc8bd6b7deb0dc657f9a54e21,qwen36,Alibaba Cloud Model Studio,qwen3.6-flash-2026-04-16,qwen3.6-flash-2026-04-16,2.48.0,0,"{""enable_thinking"": false}",provider_default,2026-09-05T23:19:47.376403+00:00,2026-09-05T23:19:52.177942+00:00,4.802,1,success,Harm,85,"The image depicts a person in visible emotional distress, characterized by red eyes (suggesting crying or strain), a pained expression, and a disheveled environment with trash. The primary moral concern conveyed is the individual's suffering and psychological pain. While 'Care' is relevant as the subject needs support, 'Harm' is the more direct classification for the visible state of suffering itself.",,,,,2011,107,,2118,"{
  ""label"": ""Harm"",
  ""confidence"": 85,
  ""brief_reason"": ""The image depicts a person in visible emotional distress, characterized by red eyes (suggesting crying or strain), a pained expression, and a disheveled environment with trash. The primary moral concern conveyed is the individual's suffering and psychological pain. While 'Care' is relevant as the subject needs support, 'Harm' is the more direct classification for the visible state of suffering itself.""
}",
prompt-results-v1,visual-cue-prompt-pilot-v1,010ecf86752795948c65f735a12ca5ef23a0b79726346feeeec6b2e8a0d97fd9,20260905,4abacadab7776f19f410667a58dab254f25527fef3a254f29b2f95a6ed48d37c,e8ae2e121fa55aa8bb8104f465bc0e3b12f1943b417426f2d061edadc7340d83,,10,1,4,1,p0,p0-baseline-v2,1c1a1676abde21bda6ea8cf6eef5a6ca2bb99ecef928005f0fe5aed4769d0fa1,b0df04e619c332a72d33e5061a92e225ef3b9a537c9dcb40ee78e063f56dfcdd,g-1,g-1.png,images/g-1.png,943338cbf3221f686e7f8eab88ffc3c7ca097f6fc19aae82b4af59fa203117af,qwen36,Alibaba Cloud Model Studio,qwen3.6-flash-2026-04-16,qwen3.6-flash-2026-04-16,2.48.0,0,"{""enable_thinking"": false}",provider_default,2026-09-05T23:19:52.704531+00:00,2026-09-05T23:19:58.638271+00:00,5.934,1,success,Fairness,85,"The image prominently features a person in a wheelchair facing a building entrance accessible only by stairs, with no visible ramp or alternative access. This visual setup highlights a barrier to entry that prevents equal participation, representing a concern for accessibility and equitable treatment (fairness). While the scene evokes sympathy (Care), the primary moral subject is the structural inequality preventing access.",,,,,2043,100,,2143,"{
  ""label"": ""Fairness"",
  ""confidence"": 85,
  ""brief_reason"": ""The image prominently features a person in a wheelchair facing a building entrance accessible only by stairs, with no visible ramp or alternative access. This visual setup highlights a barrier to entry that prevents equal participation, representing a concern for accessibility and equitable treatment (fairness). While the scene evokes sympathy (Care), the primary moral subject is the structural inequality preventing access.""
}",
