model_key,comparison,condition_before,condition_after,image_id,both_cells_complete,expected_endorsement_before,expected_endorsement_after,expected_endorsement_delta,expected_endorsement_direction,mixed_none_removed_expected_before,mixed_none_removed_expected_after,mixed_none_removed_expected_delta,modal_label_before,modal_label_after,modal_label_transition,modal_support_before,modal_support_after,modal_support_delta,plurality_match_before,plurality_match_after,plurality_transition,stability_before,stability_after,stability_delta,mean_confidence_before,mean_confidence_after,mean_confidence_delta
gpt56,p2_minus_p0,p0,p2,1-1,True,0.8,0.8,0.0,unchanged,0.8,0.8,0.0,Care,Care,Care -> Care,0.8,0.8,0.0,True,True,matched_both,1.0,1.0,0.0,94.666666667,90.0,-4.666666667
gpt56,p2_minus_p0,p0,p2,9-2,True,0.416667,0.361111333,-0.055555667,regressed,0.416667,0.361111333,-0.055555667,Care,Care,Care -> Care,0.416667,0.416667,0.0,True,True,matched_both,1.0,0.666666667,-0.333333333,64.0,66.0,2.0
gpt56,p2_minus_p0,p0,p2,7-2,True,0.571429,0.571429,0.0,unchanged,0.571429,0.571429,0.0,Respect / Authority,Respect / Authority,Respect / Authority -> Respect / Authority,0.571429,0.571429,0.0,True,True,matched_both,1.0,1.0,0.0,88.0,82.666666667,-5.333333333
gpt56,p2_minus_p0,p0,p2,37-3,True,0.125,0.125,0.0,unchanged,0.125,0.125,0.0,Care,Care,Care -> Care,0.125,0.125,0.0,False,False,matched_neither,1.0,1.0,0.0,78.0,69.333333333,-8.666666667
gpt56,p2_minus_p0,p0,p2,15-3,True,0.3125,0.3125,0.0,unchanged,0.3125,0.3125,0.0,Care,Care,Care -> Care,0.3125,0.3125,0.0,False,False,matched_neither,1.0,1.0,0.0,84.0,78.666666667,-5.333333333
gpt56,p2_minus_p0,p0,p2,g-1,True,0.4,0.4,0.0,unchanged,0.4,0.4,0.0,Fairness,Fairness,Fairness -> Fairness,0.4,0.4,0.0,True,True,matched_both,1.0,1.0,0.0,93.0,89.0,-4.0
gpt56,p2_minus_p0,p0,p2,5-1,True,0.5,0.5,0.0,unchanged,0.5,0.5,0.0,Harm,Harm,Harm -> Harm,0.5,0.5,0.0,True,True,matched_both,1.0,1.0,0.0,91.0,88.0,-3.0
gpt56,p2_minus_p0,p0,p2,3-1,True,0.181818,0.181818,0.0,unchanged,0.181818,0.181818,0.0,Care,Care,Care -> Care,0.181818,0.181818,0.0,False,False,matched_neither,1.0,1.0,0.0,88.0,85.333333333,-2.666666667
gpt56,p2_minus_p0,p0,p2,o-2,True,0.357143,0.357143,0.0,unchanged,0.357143,0.357143,0.0,None of these / Not clearly moral in nature,None of these / Not clearly moral in nature,None of these / Not clearly moral in nature -> None of these / Not clearly moral in nature,0.357143,0.357143,0.0,False,False,matched_neither,1.0,1.0,0.0,98.0,98.0,0.0
gpt56,p2_minus_p0,p0,p2,g-2,True,0.545455,0.545455,0.0,unchanged,0.545455,0.545455,0.0,Fairness,Fairness,Fairness -> Fairness,0.545455,0.545455,0.0,True,True,matched_both,1.0,1.0,0.0,98.0,97.666666667,-0.333333333
