image_id,researcher_working_label
1-1,Care
1-2,Harm
2-1,Care
2-2,None of these / Not clearly moral in nature
3-1,Harm
3-2,None of these / Not clearly moral in nature
4-1,Respect / Authority
4-2,Respect / Authority
4-3,None of these / Not clearly moral in nature
5-1,Harm
5-2,Loyalty
6-1,Sanctity
6-2,Degradation
6-3,None of these / Not clearly moral in nature
7-1,Respect / Authority
7-2,Respect / Authority
8-1,None of these / Not clearly moral in nature
8-2,None of these / Not clearly moral in nature
8-3,None of these / Not clearly moral in nature
8-4,None of these / Not clearly moral in nature
9-1,None of these / Not clearly moral in nature
9-2,Care
10-1,None of these / Not clearly moral in nature
10-2,None of these / Not clearly moral in nature
11-1,None of these / Not clearly moral in nature
11-2,None of these / Not clearly moral in nature
12-1,Sanctity
12-2,Sanctity
12-3,None of these / Not clearly moral in nature
12-4,None of these / Not clearly moral in nature
13-1,None of these / Not clearly moral in nature
13-2,None of these / Not clearly moral in nature
13-3,Cheating
13-4,None of these / Not clearly moral in nature
14-1,Harm
14-2,None of these / Not clearly moral in nature
14-3,None of these / Not clearly moral in nature
15-1,Loyalty
15-2,None of these / Not clearly moral in nature
15-3,Care
15-4,Respect / Authority
16-1,Care
16-2,Harm
17-1,None of these / Not clearly moral in nature
17-2,None of these / Not clearly moral in nature
17-3,None of these / Not clearly moral in nature
17-4,None of these / Not clearly moral in nature
18-1,Care
18-2,None of these / Not clearly moral in nature
18-3,Sanctity
18-4,None of these / Not clearly moral in nature
19-1,Care
19-2,None of these / Not clearly moral in nature
20-1,Care
20-2,None of these / Not clearly moral in nature
21-1,None of these / Not clearly moral in nature
21-2,Loyalty
22-1,None of these / Not clearly moral in nature
22-2,Care
23-1,None of these / Not clearly moral in nature
23-2,None of these / Not clearly moral in nature
24-1,None of these / Not clearly moral in nature
24-2,None of these / Not clearly moral in nature
24-3,None of these / Not clearly moral in nature
25-1,None of these / Not clearly moral in nature
25-2,Fairness
26-1,None of these / Not clearly moral in nature
26-2,Loyalty
27-1,Harm
27-2,None of these / Not clearly moral in nature
28-1,None of these / Not clearly moral in nature
28-2,None of these / Not clearly moral in nature
29-1,None of these / Not clearly moral in nature
29-2,None of these / Not clearly moral in nature
30-1,None of these / Not clearly moral in nature
30-2,None of these / Not clearly moral in nature
31-1,None of these / Not clearly moral in nature
31-2,None of these / Not clearly moral in nature
31-3,None of these / Not clearly moral in nature
32-1,None of these / Not clearly moral in nature
32-2,Harm
32-3,None of these / Not clearly moral in nature
33-1,None of these / Not clearly moral in nature
33-2,Care
33-3,None of these / Not clearly moral in nature
33-4,None of these / Not clearly moral in nature
34-1,Degradation
34-2,None of these / Not clearly moral in nature
34-3,None of these / Not clearly moral in nature
34-4,Harm
35-1,None of these / Not clearly moral in nature
35-2,Loyalty
35-3,Loyalty
35-4,Loyalty
36-1,None of these / Not clearly moral in nature
36-2,Care
36-3,Care
37-1,Degradation
37-2,None of these / Not clearly moral in nature
37-3,Harm
37-4,None of these / Not clearly moral in nature
38-1,None of these / Not clearly moral in nature
38-2,None of these / Not clearly moral in nature
38-3,None of these / Not clearly moral in nature
38-4,None of these / Not clearly moral in nature
39-1,None of these / Not clearly moral in nature
39-2,None of these / Not clearly moral in nature
39-3,None of these / Not clearly moral in nature
39-4,None of these / Not clearly moral in nature
39-5,None of these / Not clearly moral in nature
39-6,None of these / Not clearly moral in nature
40-1,None of these / Not clearly moral in nature
40-2,None of these / Not clearly moral in nature
40-3,None of these / Not clearly moral in nature
40-4,None of these / Not clearly moral in nature
g-1,Fairness
g-2,Fairness
g-3,Fairness
g-4,Harm
g-5,Harm
g-6,Harm
g-7,Fairness
g-8,Fairness
o-1,Cheating
o-2,Fairness
o-3,Harm
o-4,Harm
