image_id,label,endorsement_count,n_responses,endorsement_rate,mixed_none_removed_count,mixed_none_removed_rate,is_plurality,plurality_count,plurality_set
1-1,Care,16,20,0.8,16,0.8,True,16,Care
1-1,Harm,0,20,0.0,0,0.0,False,16,Care
1-1,Fairness,0,20,0.0,0,0.0,False,16,Care
1-1,Cheating,0,20,0.0,0,0.0,False,16,Care
1-1,Loyalty,5,20,0.25,5,0.25,False,16,Care
1-1,Betrayal,0,20,0.0,0,0.0,False,16,Care
1-1,Respect / Authority,1,20,0.05,1,0.05,False,16,Care
1-1,Subversion,0,20,0.0,0,0.0,False,16,Care
1-1,Sanctity,4,20,0.2,4,0.2,False,16,Care
1-1,Degradation,0,20,0.0,0,0.0,False,16,Care
1-1,None of these / Not clearly moral in nature,2,20,0.1,2,0.1,False,16,Care
9-2,Care,5,12,0.416667,5,0.416667,True,5,Care
9-2,Harm,0,12,0.0,0,0.0,False,5,Care
9-2,Fairness,2,12,0.166667,2,0.166667,False,5,Care
9-2,Cheating,1,12,0.083333,1,0.083333,False,5,Care
9-2,Loyalty,1,12,0.083333,1,0.083333,False,5,Care
9-2,Betrayal,0,12,0.0,0,0.0,False,5,Care
9-2,Respect / Authority,0,12,0.0,0,0.0,False,5,Care
9-2,Subversion,0,12,0.0,0,0.0,False,5,Care
9-2,Sanctity,1,12,0.083333,1,0.083333,False,5,Care
9-2,Degradation,2,12,0.166667,2,0.166667,False,5,Care
9-2,None of these / Not clearly moral in nature,3,12,0.25,3,0.25,False,5,Care
7-2,Care,1,14,0.071429,1,0.071429,False,8,Respect / Authority
7-2,Harm,1,14,0.071429,1,0.071429,False,8,Respect / Authority
7-2,Fairness,2,14,0.142857,2,0.142857,False,8,Respect / Authority
7-2,Cheating,0,14,0.0,0,0.0,False,8,Respect / Authority
7-2,Loyalty,2,14,0.142857,2,0.142857,False,8,Respect / Authority
7-2,Betrayal,0,14,0.0,0,0.0,False,8,Respect / Authority
7-2,Respect / Authority,8,14,0.571429,8,0.571429,True,8,Respect / Authority
7-2,Subversion,2,14,0.142857,2,0.142857,False,8,Respect / Authority
7-2,Sanctity,1,14,0.071429,1,0.071429,False,8,Respect / Authority
7-2,Degradation,0,14,0.0,0,0.0,False,8,Respect / Authority
7-2,None of these / Not clearly moral in nature,2,14,0.142857,2,0.142857,False,8,Respect / Authority
37-3,Care,2,16,0.125,2,0.125,False,5,Harm
37-3,Harm,5,16,0.3125,5,0.3125,True,5,Harm
37-3,Fairness,0,16,0.0,0,0.0,False,5,Harm
37-3,Cheating,1,16,0.0625,1,0.0625,False,5,Harm
37-3,Loyalty,1,16,0.0625,1,0.0625,False,5,Harm
37-3,Betrayal,4,16,0.25,4,0.25,False,5,Harm
37-3,Respect / Authority,0,16,0.0,0,0.0,False,5,Harm
37-3,Subversion,0,16,0.0,0,0.0,False,5,Harm
37-3,Sanctity,2,16,0.125,2,0.125,False,5,Harm
37-3,Degradation,1,16,0.0625,1,0.0625,False,5,Harm
37-3,None of these / Not clearly moral in nature,3,16,0.1875,3,0.1875,False,5,Harm
15-3,Care,5,16,0.3125,5,0.3125,False,6,Respect / Authority
15-3,Harm,5,16,0.3125,5,0.3125,False,6,Respect / Authority
15-3,Fairness,1,16,0.0625,1,0.0625,False,6,Respect / Authority
15-3,Cheating,0,16,0.0,0,0.0,False,6,Respect / Authority
15-3,Loyalty,1,16,0.0625,1,0.0625,False,6,Respect / Authority
15-3,Betrayal,1,16,0.0625,1,0.0625,False,6,Respect / Authority
15-3,Respect / Authority,6,16,0.375,6,0.375,True,6,Respect / Authority
15-3,Subversion,0,16,0.0,0,0.0,False,6,Respect / Authority
15-3,Sanctity,0,16,0.0,0,0.0,False,6,Respect / Authority
15-3,Degradation,1,16,0.0625,1,0.0625,False,6,Respect / Authority
15-3,None of these / Not clearly moral in nature,1,16,0.0625,1,0.0625,False,6,Respect / Authority
g-1,Care,8,20,0.4,8,0.4,True,8,Care | Fairness
g-1,Harm,3,20,0.15,3,0.15,False,8,Care | Fairness
g-1,Fairness,8,20,0.4,8,0.4,True,8,Care | Fairness
g-1,Cheating,1,20,0.05,1,0.05,False,8,Care | Fairness
g-1,Loyalty,2,20,0.1,2,0.1,False,8,Care | Fairness
g-1,Betrayal,1,20,0.05,1,0.05,False,8,Care | Fairness
g-1,Respect / Authority,0,20,0.0,0,0.0,False,8,Care | Fairness
g-1,Subversion,1,20,0.05,1,0.05,False,8,Care | Fairness
g-1,Sanctity,0,20,0.0,0,0.0,False,8,Care | Fairness
g-1,Degradation,1,20,0.05,1,0.05,False,8,Care | Fairness
g-1,None of these / Not clearly moral in nature,2,20,0.1,2,0.1,False,8,Care | Fairness
5-1,Care,6,18,0.333333,6,0.333333,False,9,Harm
5-1,Harm,9,18,0.5,9,0.5,True,9,Harm
